reference;province;suburb;city;postal_code;retial_name;route;latitude;longitude
pickup_point_1435;Eastern Cape;Kwamashu;Kwamashu;4360;grocery_store;regional;-29.70000;30.90000
pickup_point_1737;Eastern Cape;Kokstad;Kokstad;4700;grocery_store;regional;-30.50000;29.40000
pickup_point_2088;Eastern Cape;Cedarville;Kokstad;4720;grocery_store;regional;-30.30000;29.00000
pickup_point_771;Eastern Cape;Matatiele;Matatiele;4730;grocery_store;regional;-30.30000;28.80000
pickup_point_1467;Eastern Cape;Matatiele;Matatiele;4730;grocery_store;regional;-30.30000;28.80000
pickup_point_1542;Eastern Cape;Matatiele;Matatiele;4730;retail_store;regional;-30.30000;28.80000
pickup_point_1760;Eastern Cape;Matatiele;Matatiele;4730;grocery_store;regional;-30.30000;28.80000
pickup_point_315;Eastern Cape;Mount Ayliff;Mount Ayliff;4735;grocery_store;regional;-30.70000;29.30000
pickup_point_876;Eastern Cape;Mount Ayliff;Mount Ayliff;4735;grocery_store;regional;-30.80000;29.30000
pickup_point_1524;Eastern Cape;Mount Ayliff;Mount Ayliff;4735;grocery_store;regional;-30.80000;29.30000
pickup_point_2564;Eastern Cape;Hosp Mount Fletcher;Mount Fletcher;4770;grocery_store;regional;-30.60000;28.50000
pickup_point_444;Eastern Cape;Bizana;Mbizana;4800;petrol_station;regional;-30.80000;29.80000
pickup_point_497;Eastern Cape;Bizana;Mbizana;4800;musica;regional;-30.80000;29.80000
pickup_point_2257;Eastern Cape;Bizana;Bizana;4800;retail_store;regional;-30.80000;29.80000
pickup_point_1579;Eastern Cape;Flagstaff;Flagstaff;4810;grocery_store;regional;-31.00000;29.50000
pickup_point_1626;Eastern Cape;Flagstaff;Flagstaff;4810;retail_store;regional;-31.00000;29.50000
pickup_point_478;Eastern Cape;Lusikisiki;Lusikisiki;4820;musica;regional;-31.30000;29.50000
pickup_point_1599;Eastern Cape;Lusikisiki;Lusikisiki;4820;grocery_store;regional;-31.30000;29.50000
pickup_point_445;Eastern Cape;Stutterheim;Stutterheim;4930;petrol_station;regional;-32.50000;27.40000
pickup_point_2137;Eastern Cape;Komga;Komga;4950;grocery_store;regional;-32.50000;27.80000
pickup_point_2736;Eastern Cape;Komga;Qumra;4950;grocery_store;regional;-32.50000;27.80000
pickup_point_1187;Eastern Cape;Butterworth;Butterworth;4960;musica;main;-32.30000;28.10000
pickup_point_1719;Eastern Cape;Butterworth;Butterworth;4960;grocery_store;regional;-32.30000;28.10000
pickup_point_2296;Eastern Cape;Butterworth;Butterworth;4960;spaza_store;regional;-32.30000;28.10000
pickup_point_2917;Eastern Cape;Butterworth;Umtata;4960;retail_store;regional;-32.30000;28.10000
pickup_point_2734;Eastern Cape;Kentani;Kentani;4980;grocery_store;regional;-32.50000;28.30000
pickup_point_458;Eastern Cape;Dutywa;Dutywa;5000;petrol_station;regional;-32.00000;28.30000
pickup_point_777;Eastern Cape;Idutywa;Dutywa;5000;spaza_store;regional;-32.00000;28.30000
pickup_point_1762;Eastern Cape;Idutywa;Idutywa;5000;grocery_store;regional;-32.10000;28.20000
pickup_point_2547;Eastern Cape;Idutywa;Idutywa;5000;petrol_station;regional;-32.00000;28.30000
pickup_point_2735;Eastern Cape;Willowvale;Willowvale;5040;grocery_store;regional;-32.20000;28.50000
pickup_point_465;Eastern Cape;Ngcobo;Ngcobo;5050;petrol_station;regional;-31.60000;28.00000
pickup_point_778;Eastern Cape;Engcobo;Engcobo;5050;spaza_store;regional;-31.60000;27.90000
pickup_point_1728;Eastern Cape;Ngcobo;Engcobo;5050;grocery_store;regional;-31.60000;28.00000
pickup_point_441;Eastern Cape;Elliotdale;Amatole;5070;petrol_station;regional;-31.90000;28.60000
pickup_point_1727;Eastern Cape;Mqanduli;Mqanduli;5080;grocery_store;regional;-31.80000;28.70000
pickup_point_1668;Eastern Cape;Mount Frere;Mount Frere;5090;grocery_store;main;-30.80000;28.90000
pickup_point_1726;Eastern Cape;Mount Frere;Mount Frere;5090;grocery_store;regional;-30.90000;28.90000
pickup_point_2083;Eastern Cape;Mount Frere;Mount Frere;5090;grocery_store;regional;-30.90000;28.90000
pickup_point_2190;Eastern Cape;Mount Frere;Mount Frere;5090;grocery_store;regional;-30.90000;28.90000
pickup_point_2274;Eastern Cape;Mount Frere;Mount Frere;5090;retail_store;regional;-30.90000;28.90000
pickup_point_2879;Eastern Cape;Mount Frere;Mount Frere;5090;spaza_store;regional;-30.90000;28.90000
pickup_point_927;Eastern Cape;Mthatha;Mthatha;5099;grocery_store;main;-31.50000;28.70000
pickup_point_1111;Eastern Cape;Umtata;Mthatha;5099;grocery_store;regional;-31.50000;28.70000
pickup_point_1114;Eastern Cape;Mthatha;Mthatha;5099;grocery_store;regional;-31.50000;28.70000
pickup_point_1376;Eastern Cape;Mthatha;Mthatha;5099;grocery_store;regional;-31.50000;28.60000
pickup_point_1450;Eastern Cape;Umtata;Mthatha;5099;grocery_store;regional;-31.50000;28.70000
pickup_point_1459;Eastern Cape;Umtata;Mthatha;5099;grocery_store;regional;-31.50000;28.70000
pickup_point_1729;Eastern Cape;Umtata;Mthatha;5099;grocery_store;regional;-31.50000;28.70000
pickup_point_1736;Eastern Cape;Umtata;Mthatha;5099;grocery_store;regional;-31.50000;28.70000
pickup_point_2290;Eastern Cape;Umtata;Mthatha;5099;spaza_store;regional;-31.50000;28.70000
pickup_point_49;Eastern Cape;Mthatha;Mthatha;5100;grocery_store;regional;-31.50000;28.70000
pickup_point_159;Eastern Cape;Mthatha;Mthatha;5100;grocery_store;regional;-31.50000;28.70000
pickup_point_926;Eastern Cape;Norwood;Mthatha;5100;grocery_store;main;-31.50000;28.70000
pickup_point_1179;Eastern Cape;Mthatha;Mthatha;5100;musica;main;-31.50000;28.70000
pickup_point_1182;Eastern Cape;Norwood;Mthatha;5100;musica;main;-31.50000;28.70000
pickup_point_1456;Eastern Cape;Mthatha;Mthatha;5100;grocery_store;regional;-31.50000;28.70000
pickup_point_1476;Eastern Cape;Fort Gale;Mthatha;5100;pharmacy;regional;-31.50000;28.70000
